id,name,birthday,breed,species
1,Ozzy,2005-03-29,"Dachshund, Standard Smooth Haired",Dog
2,Ginger,2006-01-20,"Retriever, Golden",Dog
3,Pepper,2006-02-07,Manx,Cat
4,Addy,2006-08-04,"Retriever, Golden",Dog
5,Lady,2006-12-06,Doberman Pinscher,Dog
6,Rustie,2007-07-24,"Dachshund, Standard Smooth Haired",Dog
7,Emily,2007-11-19,Domestic Medium Hair,Cat
8,Tyson,2007-12-27,"Terrier, American Pit Bull",Dog
9,Sampson,2008-01-31,Shepherd,Dog
10,Buddy,2008-03-20,"Retriever, Labrador",Dog
11,Hitler,2008-03-25,"Terrier, American Pit Bull",Dog
12,Romeo,2008-03-28,"Terrier, Yorkshire",Dog
13,Oscar,2008-03-31,"Dachshund, Miniature Smooth Haired",Dog
14,Liame,2008-04-17,"Retriever, Labrador",Dog
15,Hunter,2008-08-02,Devon Rex,Cat
16,Emily,2008-11-12,"Terrier, Boston",Dog
17,Finigan,2008-12-01,"Spaniel, Irish Water",Dog
18,Holly,2009-01-28,"Retriever, Labrador",Dog
19,Franklin Tucker,2009-07-16,Pug,Dog
20,Shelby,2009-12-22,"Retriever, Labrador",Dog
21,Jack,2009-12-23,"Schnauzer, Miniature",Dog
22,Calvin,2010-01-11,Terrier,Dog
23,Zoey,2010-02-19,"Chihuahua, Short Coat",Dog
24,Shelby,2010-03-05,"Retriever, Labrador",Dog
25,Nugget,2010-03-18,"Retriever, Golden",Dog
26,Kane,2010-04-22,"Retriever, Labrador",Dog
27,Big Guy,2010-06-05,"Chihuahua, Short Coat",Dog
28,Akaiya,2010-06-15,"Terrier, American Staffordshire",Dog
29,Petey,2010-10-14,"Terrier, American Pit Bull",Dog
30,Buttercup,2011-02-04,"Retriever, Labrador",Dog
31,Skyler,2011-03-28,LaPerm,Cat
32,Jenkey,2011-03-29,Australian Cattle Dog,Dog
33,Velvet,2011-04-29,Akita,Dog
34,Mulan,2011-05-04,Australian Shepherd,Dog
35,Mac,2011-06-13,"Terrier, Boston",Dog
36,Zest,2011-07-29,German Shepherd,Dog
37,Wafer,2011-07-29,"Retriever, Labrador",Dog
38,Vegas,2011-09-28,Cane Corso,Dog
39,Rambo,2011-12-29,"Terrier, American Pit Bull",Dog
40,Charlie,2012-02-01,Boxer,Dog
41,Mister Kitty,2012-02-10,LaPerm,Cat
42,Puck,2012-05-19,"Spaniel, American Cocker",Dog
43,Cooper,2012-08-30,"Chihuahua, Short Coat",Dog
44,Cooper,2012-08-30,"Chihuahua, Short Coat",Dog
45,Grey Fox,2012-08-31,Siamese,Cat
46,Grey Fox,2012-08-31,Siamese,Cat
47,Pete,2012-09-28,Australian Cattle Dog,Dog
48,Pete,2012-09-28,Australian Cattle Dog,Dog
49,Midnight,2012-10-15,"Chihuahua, Short Coat",Dog
50,Midnight,2012-10-15,"Chihuahua, Short Coat",Dog
51,Blackie,2012-10-15,"Retriever, Labrador",Dog
52,Blackie,2012-10-15,"Retriever, Labrador",Dog
53,Diana,2012-10-20,"Terrier, American Pit Bull",Dog
